solver,method,rep,n_rows,n_cols,margin,noise,tau_true,tau_raw,tau_projected,tau_error_raw,tau_error_projected,tau_shift,baseline_rmse_raw,baseline_rmse_projected,pattern,outcome_mode,baseline_projection,baseline_min_raw,baseline_min_projected,negative_fraction_raw,clipped_fraction,clipped_mass,max_clipped_magnitude
MCNNM,raw_vs_projected,0,12,12,0.05,0.05,-0.2,0.11552662056770203,0.11552662056770203,0.31552662056770203,0.31552662056770203,0.0,0.6439590784049749,0.6439590784049749,block,dense,clip_nonnegative,0.4080466292039907,0.4080466292039907,0.0,0.0,0.0,-0.0
MCNNM,raw_vs_projected,1,12,12,0.05,0.05,-0.2,-0.15215342775939564,-0.15215342775939564,0.047846572240604374,0.047846572240604374,0.0,0.4066631967080976,0.4066631967080976,block,dense,clip_nonnegative,0.44536086339872316,0.44536086339872316,0.0,0.0,0.0,-0.0
MCNNM,raw_vs_projected,0,12,12,0.05,0.05,-0.2,-0.11112596520055854,-0.12316746835754167,0.08887403479944148,0.07683253164245835,-0.01204150315698313,0.357520475973451,0.3555794637952568,block,intermittent,clip_nonnegative,-0.3217834418670654,0.0,0.0763888888888889,0.0763888888888889,1.142774199197083,0.3217834418670654
MCNNM,raw_vs_projected,1,12,12,0.05,0.05,-0.2,-0.6227266092137073,-0.6253509352033382,-0.42272660921370725,-0.42535093520333817,-0.0026243259896309157,0.348663159215477,0.34764755003209996,block,intermittent,clip_nonnegative,-0.14144479221742895,0.0,0.13194444444444445,0.13194444444444445,1.182026091261664,0.14144479221742895
MCNNM,raw_vs_projected,0,12,12,0.05,0.05,-0.2,0.002269000097532237,0.002269000097532237,0.20226900009753224,0.20226900009753224,0.0,0.31082446388921897,0.31082446388921897,sparse,dense,clip_nonnegative,0.40494870260798477,0.40494870260798477,0.0,0.0,0.0,-0.0
MCNNM,raw_vs_projected,1,12,12,0.05,0.05,-0.2,-0.2434686801718557,-0.2434686801718557,-0.04346868017185568,-0.04346868017185568,0.0,0.1786097377445129,0.1786097377445129,sparse,dense,clip_nonnegative,0.2884051848695979,0.2884051848695979,0.0,0.0,0.0,-0.0
MCNNM,raw_vs_projected,0,12,12,0.05,0.05,-0.2,-0.18100101761317944,-0.19861862815257336,0.018998982386820573,0.001381371847426649,-0.017617610539393924,0.20408353295083173,0.20053775914495364,sparse,intermittent,clip_nonnegative,-0.2517408097980469,0.0,0.09027777777777778,0.09027777777777778,1.274374658919372,0.2517408097980469
MCNNM,raw_vs_projected,1,12,12,0.05,0.05,-0.2,-0.09597727552701654,-0.11316891869948661,0.10402272447298347,0.0868310813005134,-0.017191643172470072,0.24532855250945895,0.24221739343937412,sparse,intermittent,clip_nonnegative,-0.22349136124211072,0.0,0.14583333333333334,0.14583333333333334,1.7649624969805164,0.22349136124211072
MCNNM,raw_vs_projected,0,12,12,0.05,0.05,-0.2,-0.21972801362330951,-0.21972801362330951,-0.019728013623309504,-0.019728013623309504,0.0,0.3244361836217516,0.3244361836217516,row,dense,clip_nonnegative,0.6721692644997264,0.6721692644997264,0.0,0.0,0.0,-0.0
MCNNM,raw_vs_projected,1,12,12,0.05,0.05,-0.2,-0.2825017949892128,-0.2825017949892128,-0.08250179498921278,-0.08250179498921278,0.0,0.24372014100442774,0.24372014100442774,row,dense,clip_nonnegative,0.43624459899881796,0.43624459899881796,0.0,0.0,0.0,-0.0
MCNNM,raw_vs_projected,0,12,12,0.05,0.05,-0.2,-0.5508180495954041,-0.6084222148432475,-0.35081804959540414,-0.40842221484324753,-0.0576041652478434,0.5819984297279235,0.5722050007866246,row,intermittent,clip_nonnegative,-0.6506693651560943,0.0,0.13194444444444445,0.13194444444444445,4.308547493776756,0.6506693651560943
MCNNM,raw_vs_projected,1,12,12,0.05,0.05,-0.2,-0.49202870012154687,-0.5439750558868854,-0.29202870012154686,-0.34397505588688543,-0.05194635576533857,0.3312939271159653,0.3219413152326653,row,intermittent,clip_nonnegative,-0.48581619866009473,0.0,0.1111111111111111,0.1111111111111111,3.1580194482308235,0.48581619866009473
MCNNM,raw_vs_projected,0,12,12,0.05,0.05,-0.2,-0.0885557643351052,-0.0885557643351052,0.11144423566489481,0.11144423566489481,0.0,0.4535720414070954,0.4535720414070954,staggered,dense,clip_nonnegative,0.3230106962068713,0.3230106962068713,0.0,0.0,0.0,-0.0
MCNNM,raw_vs_projected,1,12,12,0.05,0.05,-0.2,-0.7382270521185968,-0.7382270521185968,-0.5382270521185968,-0.5382270521185968,0.0,1.0207870590800643,1.0207870590800643,staggered,dense,clip_nonnegative,0.5063154583563416,0.5063154583563416,0.0,0.0,0.0,-0.0
MCNNM,raw_vs_projected,0,12,12,0.05,0.05,-0.2,-0.02894877530593223,-0.035631233357590414,0.17105122469406778,0.1643687666424096,-0.0066824580516581834,0.5672234514184498,0.5650850238445395,staggered,intermittent,clip_nonnegative,-0.28514383317092495,0.0,0.0763888888888889,0.0763888888888889,1.6334448516570528,0.28514383317092495
MCNNM,raw_vs_projected,1,12,12,0.05,0.05,-0.2,-0.5420164585247461,-0.5420164585247461,-0.3420164585247461,-0.3420164585247461,0.0,0.43961542092374367,0.4389768817426037,staggered,intermittent,clip_nonnegative,-0.18849009682700302,0.0,0.041666666666666664,0.041666666666666664,0.5612768387269648,0.18849009682700302
MCNNM,raw_vs_projected,0,12,12,0.05,0.05,0.2,-0.09397531382025674,-0.09397531382025674,-0.29397531382025677,-0.29397531382025677,0.0,0.3464577654541868,0.3464577654541868,block,dense,clip_nonnegative,0.9036929555907518,0.9036929555907518,0.0,0.0,0.0,-0.0
MCNNM,raw_vs_projected,1,12,12,0.05,0.05,0.2,-0.08495587332241246,-0.08495587332241246,-0.28495587332241246,-0.28495587332241246,0.0,0.4860911915202802,0.4860911915202802,block,dense,clip_nonnegative,0.27537640636053706,0.27537640636053706,0.0,0.0,0.0,-0.0
MCNNM,raw_vs_projected,0,12,12,0.05,0.05,0.2,0.12160088663341945,0.11856939371551453,-0.07839911336658056,-0.08143060628448548,-0.0030314929179049155,0.25150225354515277,0.24935606329201157,block,intermittent,clip_nonnegative,-0.22143385766349866,0.0,0.10416666666666667,0.10416666666666667,1.1003379541030742,0.22143385766349866
MCNNM,raw_vs_projected,1,12,12,0.05,0.05,0.2,0.5002903799921863,0.46350052549843773,0.3002903799921863,0.2635005254984377,-0.03678985449374855,0.5558863928329182,0.5456311740564461,block,intermittent,clip_nonnegative,-0.6294296304386212,0.0,0.10416666666666667,0.10416666666666667,2.700662995940242,0.6294296304386212
MCNNM,raw_vs_projected,0,12,12,0.05,0.05,0.2,0.30845034687855005,0.30845034687855005,0.10845034687855004,0.10845034687855004,0.0,0.3072984956510833,0.3072984956510833,sparse,dense,clip_nonnegative,0.5383890712010055,0.5383890712010055,0.0,0.0,0.0,-0.0
MCNNM,raw_vs_projected,1,12,12,0.05,0.05,0.2,0.2077268613182723,0.2077268613182723,0.007726861318272299,0.007726861318272299,0.0,0.19726207541312513,0.19726207541312513,sparse,dense,clip_nonnegative,0.4382764854792307,0.4382764854792307,0.0,0.0,0.0,-0.0
MCNNM,raw_vs_projected,0,12,12,0.05,0.05,0.2,0.07921662664230326,0.07743894777402596,-0.12078337335769675,-0.12256105222597405,-0.001777678868277302,0.2901173898483928,0.2868949038542254,sparse,intermittent,clip_nonnegative,-0.27674283046893783,0.0,0.0763888888888889,0.0763888888888889,1.4218140124529328,0.27674283046893783
MCNNM,raw_vs_projected,1,12,12,0.05,0.05,0.2,0.07835275834005972,0.05675526695952505,-0.12164724165994029,-0.14324473304047497,-0.021597491380534677,0.23642393756728725,0.23508521336133126,sparse,intermittent,clip_nonnegative,-0.18663778236325052,0.0,0.09722222222222222,0.09722222222222222,0.8862453199597583,0.18663778236325052
MCNNM,raw_vs_projected,0,12,12,0.05,0.05,0.2,0.20414719895859632,0.20414719895859632,0.004147198958596304,0.004147198958596304,0.0,0.18478100252410784,0.18478100252410784,row,dense,clip_nonnegative,0.27776010147117725,0.27776010147117725,0.0,0.0,0.0,-0.0
MCNNM,raw_vs_projected,1,12,12,0.05,0.05,0.2,0.22916567895969553,0.22916567895969553,0.029165678959695518,0.029165678959695518,0.0,0.5808484725209253,0.5808484725209253,row,dense,clip_nonnegative,0.46992718166189196,0.46992718166189196,0.0,0.0,0.0,-0.0
MCNNM,raw_vs_projected,0,12,12,0.05,0.05,0.2,0.20757411877627374,0.19927258131878386,0.0075741187762737305,-0.0007274186812161465,-0.008301537457489877,0.4421410483536952,0.4402531775356472,row,intermittent,clip_nonnegative,-0.21252497387381342,0.0,0.09722222222222222,0.09722222222222222,1.6803536798676093,0.21252497387381342
MCNNM,raw_vs_projected,1,12,12,0.05,0.05,0.2,-0.3295892053674566,-0.3295892053674566,-0.5295892053674567,-0.5295892053674567,0.0,0.4330826417789904,0.432820416188394,row,intermittent,clip_nonnegative,-0.10073076249745272,0.0,0.04861111111111111,0.04861111111111111,0.4330862862187301,0.10073076249745272
