method,dc_mode,tau,std,inference_valid,baseline_min,negative_fraction,negative_mass,rank,stable_rank,solver,rep,n_rows,n_cols,margin,noise,tau_true,tau_error,pattern,outcome_mode,method_non_neg,std_available,max_negative_magnitude,projected_design_min_eigenvalue,projected_design_condition_number,residual_frobenius_norm,tau_raw,tau_shift
nonnegative_svd,non-convex,-0.17985164008699162,,False,0.027418052229794432,0.0,0.0,2,1.062796451270819,DebiasConvex,1,12,12,0.05,0.05,-0.2,0.020148359913008396,sparse,dense,svd,False,-0.0,15.88623697465133,1.0,3.987843423530928,,
nonnegative_nnmf,non-convex,-0.17987737471277157,,False,0.027233401002058007,0.0,0.0,2,1.0627847458324393,DebiasConvex,1,12,12,0.05,0.05,-0.2,0.02012262528722844,sparse,dense,nnmf,False,-0.0,15.886440965326628,1.0,3.9878440904753627,,
final_clip,non-convex,-0.17985163911570648,,False,0.027418052027783357,0.0,0.0,2,1.0627964512826664,DebiasConvex,1,12,12,0.05,0.05,-0.2,0.02014836088429353,sparse,dense,,,,,,,-0.17985163911570648,0.0
raw,non-convex,0.022591125227539376,0.17799569630309342,True,-0.2965098838203636,0.24305555555555555,2.4331023705652024,2,1.5235723338972915,DebiasConvex,0,12,12,0.05,0.05,-0.2,0.22259112522753938,sparse,intermittent,,,,,,,,
nonnegative_svd,non-convex,0.0012557055547788298,,False,0.0,0.0,0.0,11,1.498781374685051,DebiasConvex,0,12,12,0.05,0.05,-0.2,0.20125570555477884,sparse,intermittent,svd,False,-0.0,99396425653.18823,1.0,4.219064080267185,,
nonnegative_nnmf,non-convex,-0.019497634219629478,,False,0.0,0.0,0.0,2,1.492491315897601,DebiasConvex,0,12,12,0.05,0.05,-0.2,0.18050236578037054,sparse,intermittent,nnmf,False,-0.0,12.029097666937847,1.0,4.2742283674438175,,
final_clip,non-convex,0.0099885796463006,,False,0.0,0.0,0.0,10,1.5004551908194932,DebiasConvex,0,12,12,0.05,0.05,-0.2,0.2099885796463006,sparse,intermittent,,,,,,,0.022591125227539376,-0.012602545581238776
raw,non-convex,-0.2641778889659496,0.10918604769874823,True,-0.8267462501760859,0.2013888888888889,6.440865415110016,2,1.300678402690006,DebiasConvex,1,12,12,0.05,0.05,-0.2,-0.06417788896594961,sparse,intermittent,,,,,,,,
nonnegative_svd,non-convex,-0.32166916833655795,,False,0.0,0.0,0.0,8,1.2347677131409456,DebiasConvex,1,12,12,0.05,0.05,-0.2,-0.12166916833655794,sparse,intermittent,svd,False,-0.0,1.522212492144601,1.0,3.8647954170162384,,
nonnegative_nnmf,non-convex,-0.4037993568755285,,False,0.0,0.0,0.0,2,1.2188184752912934,DebiasConvex,1,12,12,0.05,0.05,-0.2,-0.20379935687552847,sparse,intermittent,nnmf,False,-0.0,12.4551543387463,1.0,4.545324722949288,,
final_clip,non-convex,-0.305587648346445,,False,0.0,0.0,0.0,8,1.235466614393189,DebiasConvex,1,12,12,0.05,0.05,-0.2,-0.10558764834644496,sparse,intermittent,,,,,,,-0.2641778889659496,-0.04140975938049535
raw,non-convex,-0.20775351052405577,0.3695659596163683,True,0.909675620559462,0.0,0.0,2,1.0467363096677813,DebiasConvex,0,12,12,0.05,0.05,-0.2,-0.007753510524055762,row,dense,,,,,,,,
nonnegative_svd,non-convex,-0.2077535839830869,,False,0.9096756359549119,0.0,0.0,2,1.0467363089962471,DebiasConvex,0,12,12,0.05,0.05,-0.2,-0.007753583983086898,row,dense,svd,False,-0.0,6.420808900366724,1.0,9.338660614635588,,
nonnegative_nnmf,non-convex,-0.2079195382723613,,False,0.9104588103624357,0.0,0.0,2,1.0467354791698469,DebiasConvex,0,12,12,0.05,0.05,-0.2,-0.007919538272361276,row,dense,nnmf,False,-0.0,6.421098357740693,1.0,9.338662607001334,,
final_clip,non-convex,-0.20775351052405583,,False,0.909675620559462,0.0,0.0,2,1.0467363096677813,DebiasConvex,0,12,12,0.05,0.05,-0.2,-0.007753510524055818,row,dense,,,,,,,-0.20775351052405577,-5.551115123125783e-17
raw,non-convex,-0.44480572448007283,0.18804939478936392,True,0.1539152519551248,0.0,0.0,2,1.0831552632451924,DebiasConvex,1,12,12,0.05,0.05,-0.2,-0.24480572448007282,row,dense,,,,,,,,
nonnegative_svd,non-convex,-0.4448053962423108,,False,0.15391487835000728,0.0,0.0,2,1.0831552691219684,DebiasConvex,1,12,12,0.05,0.05,-0.2,-0.2448053962423108,row,dense,svd,False,-0.0,4.289135332438255,1.0,5.653824169057023,,
nonnegative_nnmf,non-convex,-0.44528556713898837,,False,0.1546178315686211,0.0,0.0,2,1.0831403398680184,DebiasConvex,1,12,12,0.05,0.05,-0.2,-0.24528556713898836,row,dense,nnmf,False,-0.0,4.288419484004914,1.0,5.653825256184171,,
final_clip,non-convex,-0.44480572448007283,,False,0.1539152519551248,0.0,0.0,2,1.0831552632451924,DebiasConvex,1,12,12,0.05,0.05,-0.2,-0.24480572448007282,row,dense,,,,,,,-0.44480572448007283,0.0
raw,non-convex,-0.0004379534157475307,0.07914506525606783,True,-0.5157480306751314,0.22916666666666666,4.589384183973916,2,1.1740997179054549,DebiasConvex,0,12,12,0.05,0.05,-0.2,0.19956204658425247,row,intermittent,,,,,,,,
nonnegative_svd,non-convex,-0.08762656342533051,,False,0.0,0.0,0.0,10,1.153074179307417,DebiasConvex,0,12,12,0.05,0.05,-0.2,0.1123734365746695,row,intermittent,svd,False,-0.0,0.22603325428497495,1.0,2.3753124963243595,,
nonnegative_nnmf,non-convex,-0.09965880363788258,,False,0.0,0.0,0.0,2,1.145495477458126,DebiasConvex,0,12,12,0.05,0.05,-0.2,0.10034119636211743,row,intermittent,nnmf,False,-0.0,18.657779439366983,1.0,2.7116348498238216,,
final_clip,non-convex,-0.06006197518852538,,False,0.0,0.0,0.0,10,1.154626608492005,DebiasConvex,0,12,12,0.05,0.05,-0.2,0.13993802481147463,row,intermittent,,,,,,,-0.0004379534157475307,-0.05962402177277785
raw,non-convex,-0.10021894260283257,0.11446520219480066,True,-0.5284367234085982,0.14583333333333334,5.255779217274703,2,1.6349949461188624,DebiasConvex,1,12,12,0.05,0.05,-0.2,0.09978105739716744,row,intermittent,,,,,,,,
nonnegative_svd,non-convex,-0.14349238828838606,,False,0.0,0.0,0.0,7,1.4449480322063093,DebiasConvex,1,12,12,0.05,0.05,-0.2,0.05650761171161395,row,intermittent,svd,False,-0.0,1.6555795054658837,1.0,4.691032739652103,,
nonnegative_nnmf,non-convex,-0.1771073367099911,,False,0.0,0.0,0.0,2,1.4554034743761555,DebiasConvex,1,12,12,0.05,0.05,-0.2,0.022892663290008913,row,intermittent,nnmf,False,-0.0,10.088026058385193,1.0,5.0058678345571135,,
final_clip,non-convex,-0.11462881332354952,,False,0.0,0.0,0.0,7,1.4505620167953506,DebiasConvex,1,12,12,0.05,0.05,-0.2,0.0853711866764505,row,intermittent,,,,,,,-0.10021894260283257,-0.01440987072071695
raw,non-convex,-0.33677371724052796,0.21028583061431175,True,0.36529681929877267,0.0,0.0,2,1.0514848580474494,DebiasConvex,0,12,12,0.05,0.05,-0.2,-0.13677371724052795,staggered,dense,,,,,,,,
