method,dc_mode,tau,std,inference_valid,baseline_min,negative_fraction,negative_mass,rank,stable_rank,solver,rep,n_rows,n_cols,margin,noise,tau_true,tau_error,pattern,outcome_mode,method_non_neg,std_available,max_negative_magnitude,projected_design_min_eigenvalue,projected_design_condition_number,residual_frobenius_norm,tau_raw,tau_shift
raw,non-convex,0.4226813637167221,0.1600196631636818,True,-0.42149627275603363,0.006944444444444444,0.42149627275603363,2,1.0734901908872325,DebiasConvex,0,12,12,0.05,0.05,0.2,0.2226813637167221,block,dense,,,,,,,,
nonnegative_svd,non-convex,0.3638819050675998,,False,0.0,0.0,0.0,3,1.0713086257775932,DebiasConvex,0,12,12,0.05,0.05,0.2,0.1638819050675998,block,dense,svd,False,-0.0,6.042181746123116,1.0,3.9376734530270334,,
final_clip,non-convex,0.41097313391794343,,False,0.0,0.0,0.0,3,1.0719701685343526,DebiasConvex,0,12,12,0.05,0.05,0.2,0.21097313391794342,block,dense,,,,,,,0.4226813637167221,-0.011708229798778669
raw,convex,0.4282128890155803,0.16893777258213025,True,-0.4188131660450627,0.006944444444444444,0.4188131660450627,2,1.0735263960625958,DebiasConvex,0,12,12,0.05,0.05,0.2,0.2282128890155803,block,dense,,,,,,,,
nonnegative_svd,convex,0.37206983112347225,,False,0.0,0.0,0.0,3,1.0713528652525381,DebiasConvex,0,12,12,0.05,0.05,0.2,0.17206983112347224,block,dense,svd,False,-0.0,6.020100284327038,1.0,3.981196636763965,,
final_clip,convex,0.41856672990784827,,False,0.0,0.0,0.0,3,1.0720219881885371,DebiasConvex,0,12,12,0.05,0.05,0.2,0.21856672990784826,block,dense,,,,,,,0.4282128890155803,-0.009646159107732033
raw,auto,0.4226813637167221,0.1600196631636818,True,-0.42149627275603363,0.006944444444444444,0.42149627275603363,2,1.0734901908872325,DebiasConvex,0,12,12,0.05,0.05,0.2,0.2226813637167221,block,dense,,,,,,,,
nonnegative_svd,auto,0.3638819050675998,,False,0.0,0.0,0.0,3,1.0713086257775932,DebiasConvex,0,12,12,0.05,0.05,0.2,0.1638819050675998,block,dense,svd,False,-0.0,6.042181746123116,1.0,3.9376734530270334,,
final_clip,auto,0.41097313391794343,,False,0.0,0.0,0.0,3,1.0719701685343526,DebiasConvex,0,12,12,0.05,0.05,0.2,0.21097313391794342,block,dense,,,,,,,0.4226813637167221,-0.011708229798778669
